ts_code,symbol,name,enname,aliases
2330.TW,2330.TW,台积电,Taiwan Semiconductor Manufacturing Co. Ltd.,台积电|TSMC|台積電|台灣積體電路
2317.TW,2317.TW,鸿海,Hon Hai Precision Industry Co. Ltd.,鸿海|鸿海精密|鴻海|富士康|Foxconn|Hon Hai
2454.TW,2454.TW,联发科,MediaTek Inc.,联发科|联发科技|聯發科|MediaTek
2412.TW,2412.TW,中华电信,Chunghwa Telecom Co. Ltd.,中华电信|中華電信|Chunghwa Telecom
2308.TW,2308.TW,台达电,Delta Electronics Inc.,台达电|台达电子|台達電|Delta Electronics|Delta
2881.TW,2881.TW,富邦金,Fubon Financial Holding Co. Ltd.,富邦金|富邦金控|富邦金融控股|Fubon Financial
2882.TW,2882.TW,国泰金,Cathay Financial Holding Co. Ltd.,国泰金|国泰金控|國泰金|Cathay Financial
2891.TW,2891.TW,中信金,CTBC Financial Holding Co. Ltd.,中信金|中国信托|中國信託|CTBC
2886.TW,2886.TW,兆丰金,Mega Financial Holding Co. Ltd.,兆丰金|兆丰金控|兆豐金|Mega Financial
1301.TW,1301.TW,台塑,Formosa Plastics Corporation,台塑|台湾塑胶|台灣塑膠|Formosa Plastics
2002.TW,2002.TW,中钢,China Steel Corporation,中钢|中国钢铁|中國鋼鐵|China Steel
3711.TW,3711.TW,日月光投控,ASE Technology Holding Co. Ltd.,日月光投控|日月光|ASE Technology|ASE
3008.TW,3008.TW,大立光,Largan Precision Co. Ltd.,大立光|大立光电|大立光電|Largan
2303.TW,2303.TW,联电,United Microelectronics Corporation,联电|联华电子|聯電|聯華電子|UMC
2382.TW,2382.TW,广达,Quanta Computer Inc.,广达|广达电脑|廣達|Quanta
2357.TW,2357.TW,华硕,ASUSTeK Computer Inc.,华硕|华硕电脑|華碩|ASUS
2603.TW,2603.TW,长荣,Evergreen Marine Corporation (Taiwan) Ltd.,长荣|长荣海运|長榮|長榮海運|Evergreen
1101.TW,1101.TW,台泥,Taiwan Cement Corporation,台泥|台湾水泥|台灣水泥|Taiwan Cement
1216.TW,1216.TW,统一,Uni-President Enterprises Corporation,统一|统一企业|統一|統一企業|Uni-President
1303.TW,1303.TW,南亚,Nan Ya Plastics Corporation,南亚|南亚塑胶|南亞|南亞塑膠|Nan Ya
6505.TW,6505.TW,台塑化,Formosa Petrochemical Corporation,台塑化|台塑石化|Formosa Petrochemical
3481.TW,3481.TW,群创,Innolux Corporation,群创|群创光电|群創|群創光電|Innolux
2409.TW,2409.TW,友达,AU Optronics Corporation,友达|友达光电|友達|友達光電|AUO
0050.TW,0050.TW,元大台湾50,Yuanta Taiwan Top 50 ETF,元大台湾50|元大台灣50|台灣50|台湾50|Yuanta Taiwan 50
6488.TWO,6488.TWO,环球晶,GlobalWafers Co. Ltd.,环球晶|環球晶|環球晶圓|GlobalWafers
5347.TWO,5347.TWO,世界先进,Vanguard International Semiconductor Corporation,世界先进|世界|世界先進|VIS
8069.TWO,8069.TWO,元太,E Ink Holdings Inc.,元太|元太科技|E Ink|E-Ink
8299.TWO,8299.TWO,群联,Phison Electronics Corporation,群联|群联电子|群聯|群聯電子|Phison
5274.TWO,5274.TWO,信骅,ASPEED Technology Inc.,信骅|信驊|ASPEED|Aspeed
3105.TWO,3105.TWO,稳懋,WIN Semiconductors Corp.,稳懋|穩懋|穩懋半導體|Win Semiconductors
